Transaction ID,Customer Name,Merchant Name,Transaction Date,Transaction Amount (INR),Fraud Risk,Fraud Type,State,Card Type,Bank,IsFraud,Fraud Score,Transaction Category,Merchant Location
58961246,Armaan Sha,Reliance Digital,10/26/2024,20904,Low,Phishing,KwaZulu Natal,Visa,Kotak Bank,0,90,Food Delivery,Durban
42445507,Vardaniya Lad,Reliance Digital,2/8/2024,1295,High,Card Not Present,Gauteng,Amex,Yes Bank,1,80,Electronics,Johannesburg
69187765,Onkar Bora,Big Bazaar,4/16/2024,23512,Low,Account Takeover,KwaZulu Natal,Rupay,Axis Bank,0,26,Groceries,Durban
99192536,Fateh Wali,Lifestyle,7/28/2024,24736,Medium,Card Not Present,Gauteng,Amex,Yes Bank,1,56,E-commerce,Johannesburg
10149344,Saira Dhillon,Zomato,7/11/2024,5543,Low,Identity Theft,Western Cape,Rupay,HDFC Bank,0,72,Transportation,Cape Town
82127371,Anay Dara,Amazon India,10/1/2024,13102,Low,Phishing,Limpopo,Mastercard,Federal Bank,1,95,Groceries,Polokwane
74082692,Sana Manne,Lifestyle,5/9/2024,11335,Critical,Card Skimming,Gauteng,Rupay,Axis Bank,0,28,Transportation,Johannesburg
93730832,Yuvraj  Suri,Tata Cliq,10/13/2024,20131,Low,Phishing,KwaZulu Natal,Amex,Federal Bank,1,75,E-commerce,Durban
27315999,Aarush Chaudhary,Reliance Digital,8/17/2024,12332,Low,Account Takeover,KwaZulu Natal,Rupay,ICICI Bank,0,45,E-commerce,Durban
50880858,Rasha Uppal,Reliance Digital,10/2/2024,14191,High,Card Skimming,Gauteng,Rupay,Axis Bank,0,67,Electronics,Johannesburg
91232868,Jivika Bhatia,Zomato,12/3/2024,8956,High,Identity Theft,Gauteng,Mastercard,Axis Bank,0,30,Electronics,Johannesburg
37845729,Eva Maharaj,Reliance Digital,4/17/2024,17448,Low,Card Skimming,Gauteng,Visa,Axis Bank,1,95,Apparel,Soweto
64308049,Zoya Borra,Amazon India,9/1/2024,10110,Medium,Card Skimming,Gauteng,Mastercard,Kotak Bank,0,63,Food Delivery,Johannesburg
37400867,Ira Mander,Lifestyle,8/5/2024,1711,Low,Phishing,Gauteng,Mastercard,Kotak Bank,0,19,Groceries,Johannesburg
87852293,Aniruddh Chander,Flipkart,5/2/2024,9742,Low,Identity Theft,Gauteng,Rupay,Yes Bank,0,31,Food Delivery,Johannesburg
18250402,Devansh Rattan,Zomato,4/7/2024,13965,Low,Identity Theft,KwaZulu Natal,Mastercard,Kotak Bank,0,71,E-commerce,Durban
85509756,Aradhya Bahri,Uber,10/7/2024,9632,Medium,Identity Theft,Free State,Amex,Yes Bank,0,44,Transportation,Bloemfontein
21329759,Aradhya Saha,Lifestyle,2/16/2024,10960,Low,Card Skimming,Gauteng,Amex,HDFC Bank,1,87,Apparel,Johannesburg
10260467,Manikya Halder,Big Bazaar,11/28/2024,22184,Low,Identity Theft,KwaZulu Natal,Amex,Kotak Bank,1,39,Groceries,Durban
33505820,Zara Chopra,Reliance Digital,4/30/2024,24174,High,Account Takeover,KwaZulu Natal,Amex,Kotak Bank,0,34,Transportation,Durban
26209976,Mishti Tripathi,Amazon India,2/4/2024,7917,Critical,Identity Theft,Limpopo,Amex,ICICI Bank,0,55,Apparel,Polokwane
76975447,Aaryahi Vaidya,Amazon India,5/1/2024,10563,Low,Account Takeover,Gauteng,Visa,Kotak Bank,0,39,Food Delivery,Soweto
64841897,Lagan Grover,Big Bazaar,5/4/2024,1654,Low,Identity Theft,Western Cape,Visa,Yes Bank,0,17,Apparel,Cape Town
31962281,Prisha Warrior,Uber,3/3/2024,24837,Low,Card Skimming,Gauteng,Mastercard,SBI,0,13,Transportation,Soweto
70845514,Ela Gara,Big Bazaar,1/14/2024,17654,Medium,Card Skimming,KwaZulu Natal,Amex,Axis Bank,0,49,Electronics,Durban
15820659,Siya Khatri,Uber,6/6/2024,12378,Medium,Identity Theft,Gauteng,Amex,Yes Bank,1,81,Groceries,Soweto
28323079,Badal Ranganathan,Amazon India,12/24/2023,13552,Medium,Card Not Present,KwaZulu Natal,Rupay,Federal Bank,1,21,Apparel,Durban
28074472,Manikya Balasubramanian,Tata Cliq,5/18/2024,19447,High,Identity Theft,Gauteng,Mastercard,Kotak Bank,0,60,Groceries,Johannesburg
67323481,Aaina Borra,Zomato,6/18/2024,7856,Low,Card Skimming,Gauteng,Mastercard,SBI,0,77,Electronics,Johannesburg
31110526,Prerak Tandon,Big Bazaar,2/9/2024,13146,Low,Card Not Present,Gauteng,Mastercard,ICICI Bank,1,28,Transportation,Johannesburg
49552851,Anaya Krishna,Flipkart,7/29/2024,15039,Low,Phishing,Free State,Rupay,Yes Bank,0,46,E-commerce,Bloemfontein
52543004,Kashvi Loyal,Big Bazaar,9/24/2024,10725,Low,Card Skimming,Gauteng,Rupay,Bank of Baroda,0,37,Transportation,Johannesburg
85124381,Saanvi Sem,Uber,10/30/2024,3216,Low,Phishing,Gauteng,Rupay,Bank of Baroda,0,77,Transportation,Johannesburg
42494131,Vanya Hayre,Uber,4/2/2024,14502,Medium,Card Not Present,KwaZulu Natal,Mastercard,Bank of Baroda,0,59,Electronics,Durban
47972186,Miraya Thaman,Swiggy,11/25/2024,4168,Critical,Card Not Present,Gauteng,Visa,ICICI Bank,0,39,Transportation,Soweto
78953912,Ahana  Wagle,Uber,4/13/2024,23256,High,Account Takeover,Gauteng,Amex,Bank of Baroda,0,29,Transportation,Johannesburg
10869922,Jayesh Toor,Lifestyle,8/8/2024,22616,Low,Account Takeover,Limpopo,Mastercard,HDFC Bank,0,67,Transportation,Polokwane
12113217,Jayesh Balan,Zomato,11/12/2024,23656,Medium,Card Not Present,KwaZulu Natal,Visa,Federal Bank,0,45,Transportation,Durban
39463165,Sara Master,Myntra,7/27/2024,11634,Medium,Card Skimming,Western Cape,Visa,Federal Bank,0,37,Groceries,Cape Town
10510765,Siya Varkey,Amazon India,4/21/2024,4153,High,Account Takeover,Western Cape,Amex,Axis Bank,0,19,Groceries,Cape Town
63180732,Hiran Ghosh,Lifestyle,8/8/2024,14305,Low,Card Skimming,Western Cape,Visa,Axis Bank,0,52,Transportation,Cape Town
37948619,Shlok Chaudhuri,Flipkart,12/19/2023,6632,High,Identity Theft,Gauteng,Visa,Federal Bank,1,11,Transportation,Johannesburg
67851025,Aaryahi Deo,Flipkart,3/10/2024,1017,High,Card Skimming,Western Cape,Amex,Kotak Bank,1,70,Food Delivery,Cape Town
19485119,Saanvi Chakraborty,Swiggy,12/8/2024,18342,Critical,Card Skimming,Gauteng,Visa,Federal Bank,1,82,E-commerce,Soweto
78596115,Alisha Das,Big Bazaar,3/15/2024,4089,Low,Identity Theft,Gauteng,Rupay,Yes Bank,1,95,E-commerce,Johannesburg
97579806,Divit Bains,Myntra,3/25/2024,4161,Low,Card Skimming,Gauteng,Mastercard,Kotak Bank,0,33,Transportation,Johannesburg
73506109,Adah Konda,Zomato,4/5/2024,5594,High,Card Skimming,Gauteng,Visa,ICICI Bank,0,55,Groceries,Soweto
13543144,Alia Rana,Swiggy,5/19/2024,7364,Low,Card Skimming,Gauteng,Visa,HDFC Bank,0,88,Food Delivery,Johannesburg
79487668,Aniruddh Gala,Uber,6/2/2024,19463,High,Identity Theft,Limpopo,Visa,Andhra Bank,0,28,Food Delivery,Polokwane
27833354,Anvi Kakar,Zomato,2/1/2024,22622,Critical,Identity Theft,Western Cape,Amex,SBI,1,19,Apparel,Cape Town
61339463,Zain Grover,Lifestyle,9/9/2024,2026,Medium,Card Skimming,Western Cape,Amex,Federal Bank,0,64,Groceries,Cape Town
72726544,Samar Brahmbhatt,Flipkart,5/19/2024,6900,High,Phishing,KwaZulu Natal,Rupay,Kotak Bank,0,91,Apparel,Durban
33650131,Bhavin Sule,Lifestyle,1/23/2024,1239,Low,Card Skimming,Gauteng,Mastercard,Federal Bank,0,42,Electronics,Johannesburg
16505245,Sumer Bala,Flipkart,10/11/2024,1166,High,Card Not Present,Western Cape,Amex,Andhra Bank,1,74,Food Delivery,Cape Town
51331760,Heer Soni,Amazon India,12/3/2024,13248,Low,Account Takeover,KwaZulu Natal,Visa,Yes Bank,0,68,E-commerce,Durban
62791884,Jivin Hayer,Reliance Digital,3/3/2024,795,High,Phishing,Gauteng,Amex,Bank of Baroda,0,95,Apparel,Johannesburg
17071283,Samaira Hayre,Tata Cliq,2/11/2024,21466,Low,Card Not Present,Gauteng,Amex,Axis Bank,0,53,Electronics,Johannesburg
57808916,Hunar Devan,Amazon India,1/18/2024,2963,Medium,Card Skimming,Gauteng,Rupay,SBI,1,26,E-commerce,Johannesburg
72938283,Devansh Mani,Reliance Digital,11/5/2024,8416,Low,Phishing,Western Cape,Visa,HDFC Bank,0,69,Transportation,Cape Town
92838292,Indranil Kara,Tata Cliq,2/22/2024,5973,High,Card Not Present,Gauteng,Mastercard,Federal Bank,0,74,E-commerce,Johannesburg
49919079,Jhanvi Solanki,Zomato,5/31/2024,10815,Medium,Card Not Present,Gauteng,Rupay,Federal Bank,0,69,Food Delivery,Soweto
51546530,Charvi Kaur,Zomato,12/10/2024,15064,High,Account Takeover,Gauteng,Amex,Yes Bank,1,81,Transportation,Johannesburg
29629444,Anya Shere,Flipkart,9/29/2024,801,Low,Card Not Present,Gauteng,Amex,Andhra Bank,1,42,Food Delivery,Johannesburg
79096625,Ahana  Shroff,Myntra,7/8/2024,17208,Low,Card Not Present,KwaZulu Natal,Rupay,Federal Bank,0,63,Groceries,Durban
36102806,Nehmat Mall,Big Bazaar,11/21/2024,20075,Low,Card Not Present,Gauteng,Mastercard,Axis Bank,0,40,Electronics,Johannesburg
54066013,Inaaya  Sampath,Zomato,7/8/2024,6438,Low,Card Skimming,Gauteng,Rupay,SBI,0,89,Electronics,Johannesburg
57860400,Riya Dash,Uber,11/27/2024,5031,Medium,Card Not Present,Gauteng,Rupay,HDFC Bank,1,10,Electronics,Soweto
70040790,Tiya Viswanathan,Myntra,9/19/2024,252,Medium,Card Not Present,Western Cape,Mastercard,SBI,1,53,E-commerce,Cape Town
21982567,Nehmat Kar,Lifestyle,12/19/2023,14702,Low,Card Skimming,Western Cape,Mastercard,Kotak Bank,0,88,Food Delivery,Cape Town
13291091,Dhanush Borde,Swiggy,10/7/2024,8567,Low,Identity Theft,KwaZulu Natal,Mastercard,Bank of Baroda,0,84,Transportation,Durban
92630416,Inaaya  Kant,Lifestyle,12/22/2023,18546,Low,Card Not Present,Gauteng,Mastercard,Axis Bank,0,20,E-commerce,Johannesburg
85429387,Nitya Bera,Big Bazaar,12/14/2024,5015,High,Card Not Present,Free State,Visa,HDFC Bank,1,26,Electronics,Bloemfontein
20976963,Shamik Bose,Swiggy,2/23/2024,13352,High,Account Takeover,KwaZulu Natal,Rupay,Federal Bank,0,83,Apparel,Durban
15961665,Aniruddh Reddy,Uber,12/19/2023,14020,Medium,Card Skimming,Free State,Rupay,Axis Bank,0,86,Transportation,Bloemfontein
26896905,Nitara Chander,Myntra,3/31/2024,9453,High,Card Skimming,Gauteng,Visa,Kotak Bank,0,15,Food Delivery,Johannesburg
28606571,Suhana Deo,Zomato,4/1/2024,8565,Low,Identity Theft,Gauteng,Rupay,Kotak Bank,1,17,E-commerce,Soweto
29713091,Veer Kant,Zomato,8/1/2024,5009,Medium,Account Takeover,Gauteng,Visa,Yes Bank,0,22,Transportation,Soweto
19645801,Manikya Karpe,Big Bazaar,10/3/2024,6019,Low,Identity Theft,Western Cape,Rupay,SBI,0,72,Food Delivery,Cape Town
70121811,Heer Bahl,Myntra,11/7/2024,20359,Low,Phishing,KwaZulu Natal,Visa,Andhra Bank,0,26,Food Delivery,Durban
95186326,Hazel Bawa,Zomato,7/29/2024,17599,Critical,Account Takeover,Gauteng,Visa,SBI,1,30,Electronics,Johannesburg
26524451,Lakshay Chandra,Amazon India,5/9/2024,3946,Medium,Card Not Present,Gauteng,Rupay,Kotak Bank,0,91,E-commerce,Johannesburg
93307574,Riaan Uppal,Big Bazaar,8/30/2024,14755,Medium,Account Takeover,KwaZulu Natal,Mastercard,ICICI Bank,1,18,Food Delivery,Durban
